county_fips,county_nm,county_pop,total_bg_pop,pop_11,pop_12,pop_13,pop_21,pop_22,pop_23,pop_31,pop_32,pop_33,pop_41,pop_42,pop_43,urban_suburban_pop,rural_pop,urban_suburban_perc,rural_perc,metro_fips,metro_nm,city_name,city_pop,city_contains_small_urban,city_contains_mid_sized_urban,city_contains_large_urban,MSA_large_urban,MSA_mid_sized_urban,locale_type
5077,"Lee County, Arkansas",8201,8510.99999829732,,,,,,,,,,,1383.80312665689,7127.19687164043,0,8510.99999829732,0,1,,,,,,,,0,0,Rural
5079,"Lincoln County, Arkansas",12898,12966.0000000012,,,,,,,,,,,1793.75908467795,11172.2409153233,0,12966.0000000012,0,1,,,,,,,,0,0,Rural
5081,"Little River County, Arkansas",11805,11959.0000000139,,,,,,,,,,172.849683854619,10928.9482292712,857.202086888123,0,11959.0000000139,0,1,45500,"Texarkana, TX-AR",,,,,,0,0,Rural
5083,"Logan County, Arkansas",21400,21240.0000000006,,,,,,,,,,84.9372651678427,11473.1943682485,9681.8683665842,0,21240.0000000006,0,1,,,,,,,,0,0,Rural
5085,"Lonoke County, Arkansas",75944,74746.998189928,,,,20329.7718274456,,,,,,35370.5897766992,18880.4410707465,166.195515036667,20329.7718274456,54417.2263624825,0.271981113887527,0.728018886112473,30780,"Little Rock-North Little Rock-Conway, AR",,,,,,0,1,Small town
5087,"Madison County, Arkansas",17775,17032.0000000013,,,,,,,,,,,14500.5097142414,2531.49028575997,0,17032.0000000013,0,1,22220,"Fayetteville-Springdale-Rogers, AR",,,,,,0,1,Rural
5089,"Marion County, Arkansas",17514,17076.0000000014,,,,,,,,,,1032.38564444213,7858.65106736407,8184.9632881952,0,17076.0000000014,0,1,,,,,,,,0,0,Rural
5091,"Miller County, Arkansas",42415,42587.99999259,,,12.1774809175294,,,23052.9646001266,,,,10266.5816504859,9123.67538519245,132.600875867571,23065.1420810441,19522.857911546,0.541587820161952,0.458412179838048,45500,"Texarkana, TX-AR",,,,,,0,0,Small urban
5093,"Mississippi County, Arkansas",38663,39748.9995619205,,,,,,,,1603.59906133795,11191.4425978293,11869.7419475628,13813.8303252774,1270.38562991312,0,26953.9579027533,0,0.678104057959113,,,,,,,,0,0,Rural
5095,"Monroe County, Arkansas",6512,6681.00000000865,,,,,,,,,,,99.3887976949054,6581.61120231375,0,6681.00000000865,0,1,,,,,,,,0,0,Rural
5097,"Montgomery County, Arkansas",8620,8570.9999999975,,,,,,,,,,,4377.6156074364,4193.3843925611,0,8570.9999999975,0,1,,,,,,,,0,0,Rural
5099,"Nevada County, Arkansas",8120,8228.00000000039,,,,,,,,,,,1026.89690028817,7201.10309971222,0,8228.00000000039,0,1,,,,,,,,0,0,Rural
5101,"Newton County, Arkansas",7071,7175.00000000042,,,,,,,,,,,1204.21474240531,5970.78525759511,0,7175.00000000042,0,1,,,,,,,,0,0,Rural
5103,"Ouachita County, Arkansas",21793,22316.9999562174,,,,,,,,,6468.51450251397,4979.51424470879,6813.5063237206,4055.46488527403,0,15848.4854537034,0,0.710153044082797,,,,,,,,0,0,Rural
5105,"Perry County, Arkansas",10184,10073.0000000003,,,,,,,,,,696.973374132151,8353.4304840967,1022.59614177146,0,10073.0000000003,0,1,30780,"Little Rock-North Little Rock-Conway, AR",,,,,,0,1,Rural
5107,"Phillips County, Arkansas",14961,15909.9998977336,,,,,,,,,4428.17262169495,6044.63905257141,2546.39220586802,2890.79601759922,0,11481.8272760387,0,0.721673623497273,,,,,,,,0,0,Rural
5109,"Pike County, Arkansas",10208,10181.9999999972,,,,,,,,,,,2754.56839447583,7427.43160552132,0,10181.9999999972,0,1,,,,,,,,0,0,Rural
5111,"Poinsett County, Arkansas",22397,22740.0000003071,,,,,,,2740.62923439404,,,5636.82264722266,14348.2293380267,14.3187806636263,0,19999.370765913,0,0.879479804997492,27860,"Jonesboro, AR",,,,,,0,0,Rural
5113,"Polk County, Arkansas",19436,19347.9999871334,,,,,,,,,1510.13913345285,4680.82580430567,6751.00382879478,6406.03122058009,0,17837.8608536805,0,0.921948566546563,,,,,,,,0,0,Rural
5115,"Pope County, Arkansas",64593,63829.9997163241,,,,,,,,,21190.7312775534,17807.9933647585,20143.5029833182,4687.77209069397,0,42639.2684387707,0,0.668012981799622,,,,,,,,0,0,Small town
5117,"Prairie County, Arkansas",8036,8162.00000000126,,,,,,,,,,15.7831442424283,4750.91667825618,3395.30017750266,0,8162.00000000126,0,1,,,,,,,,0,0,Rural
5119,"Pulaski County, Arkansas",400009,398948.998250155,,182982.857349003,57889.6090297296,74317.0897306054,,,,,,78561.0266522364,5198.41548858004,,315189.556109338,83759.4421408165,0.790049749446178,0.209950250553822,30780,"Little Rock-North Little Rock-Conway, AR","Little Rock city, Arkansas",203842,0,1,0,0,1,Mid-sized urban
5121,"Randolph County, Arkansas",18907,18732.9999951933,,,,,,,,2333.14051867387,,7076.70366626661,6046.5392580746,3276.61655217818,0,16399.8594765194,0,0.875452916282895,,,,,,,,0,0,Rural
5123,"St. Francis County, Arkansas",22101,22740.000004966,,,,,,,,4100.03808878789,,11005.2964248189,6826.6832707522,807.982220607042,0,18639.9619161781,0,0.819699292528913,,,,,,,,0,0,Rural
5125,"Saline County, Arkansas",129574,125723.999520196,,0.380135068713509,,61099.7944203785,,,4088.58687042723,,,47787.8432212207,12747.394873101,,61100.1745554472,60535.2380943217,0.485986564129565,0.481493098575801,30780,"Little Rock-North Little Rock-Conway, AR",,,,,,0,1,Suburban
5127,"Scott County, Arkansas",9851,9838.99999999956,,,,,,,,,,,1604.76841873599,8234.23158126357,0,9838.99999999956,0,1,,,,,,,,0,0,Rural
5129,"Searcy County, Arkansas",7806,7861.00000000105,,,,,,,,,,,79.4380627522049,7781.56193724885,0,7861.00000000105,0,1,,,,,,,,0,0,Rural
5131,"Sebastian County, Arkansas",129098,128447.999161127,,,79696.5671066297,,4669.13819945487,,4169.49354804475,,,26363.2449995963,13549.555307401,,84365.7053060846,39912.8003069972,0.65680824813982,0.310731195251474,22900,"Fort Smith, AR-OK","Fort Smith city, Arkansas",89770,1,0,0,0,0,Small urban
